ID,Name,Birthday,Location_during_crime,Eye_Color,Skin_Color,Hair_Color,Height
P299,James Mason,1968/07/10,fourth floor,red,indigo,orange,191
P086,Christopher Rodriguez,1978/03/10,second floor,indigo,indigo,green,198
P022,Misty Ashley,1989/10/08,fourth floor,blue,red,violet,154
P003,Amanda Brown,1995/27/10,lobby,green,blue,violet,158
P036,William Jones,1990/26/02,fourth floor,blue,yellow,orange,184
P158,Karen Roberts,05/11/1981,,,yellow,blue,172
P129,Calvin Powers,1999/22/06,fourth floor,indigo,blue,orange,199
P181,Kaitlin Higgins PhD,07/22/1963,third floor,,violet,violet,196
P136,Jodi Mccarty,1987/22/07,,orange,orange,red,198
P157,Ronald Jackson,1973/23/04,second floor,blue,red,red,200
P209,Alan Banks,1996/08/02,lobby,green,green,orange,186
P160,Joshua Diaz,1959/09/04,second floor,yellow,green,red,161
P037,Julie Adams,1993/17/08,,blue,red,orange,183
P264,Bryan Stewart,1961/09/04,third floor,orange,yellow,indigo,176
P075,Jay Ellis,1974/17/05,second floor,orange,orange,yellow,190
P136,Jodi Mccarty,1987/22/07,,orange,orange,red,198
P224,Heather Stone,1989/08/08,second floor,violet,green,violet,182
P058,Amanda Santos,01/04/1986,second floor,,indigo,red,191
P292,Donna Guzman,1984/01/03,third floor,orange,violet,green,189
P287,Donald Stewart,06/24/2004,,,yellow,indigo,197
P231,Micheal Franklin,11/01/1961,second floor,yellow,green,orange,163
P267,Barbara Larson,05/19/1991,fourth floor,,blue,green,188
P178,Zachary Gonzales,2006/21/02,lobby,yellow,blue,yellow,196
P242,Savannah Roberts,1984/07/11,fourth floor,red,violet,yellow,172
P230,William Tucker,03/03/2005,fourth floor,,orange,indigo,188
P262,Christopher Burns,1960/20/10,second floor,orange,orange,violet,177
P104,Sherry Nelson,1986/27/10,,blue,blue,red,171
P155,Margaret Miller,05/16/1959,fourth floor,green,green,blue,160
P195,Jose Perry,2001/03/02,,orange,green,green,189
P052,Wendy Moore,1966/31/08,,green,violet,indigo,188
P163,William Schmidt MD,1994/16/05,,yellow,orange,blue,187
P205,Brian Chandler,1983/24/03,fourth floor,orange,orange,yellow,158
P029,Gary Phillips,2004/12/05,fourth floor,green,orange,violet,160
P193,Haley Jones,04/13/1969,third floor,,violet,violet,162
P229,Jerry Lee,1978/31/10,,green,orange,yellow,170
P049,Rachel Taylor,1973/22/02,third floor,orange,blue,blue,171
P249,Kevin Washington,1989/17/03,,green,orange,red,151
P252,Edward Gutierrez,1968/23/07,lobby,red,violet,yellow,187
P017,Mary Gonzalez,1979/08/09,fourth floor,indigo,indigo,red,195
